TR:mock:CellLine,TR:Input05,TR:statin_1uM,TR:statin_2uM,TR:statin_5uM,TR:statin_10uM,TR:LDPS,TR:05HC,TR:1HC,TR:02T09,TR:1T09,TR:02GW,TR:1GW,DA:ALL,DV:atorvastatin,DV:T090137,DV:GW3965,DV:HMG_CoA,DV:Mevalonate,DV:Acetyl_CoA,DV:Acetoacetyl_CoA,DV:hydroxy_atorvastatin,DV:Atorvastatin_Lactone,DV:hydroxy_GW3965
1,0.5,0,0,0,0,0,0,0,0,0,1,0,48,0.00835440020122486,8.31236644421238e-05,0.0865998367321116,0.213750463503504,0.885424698353315,0.411143557010196,0.601878225141471,0.0435761321135025,0.132865418348947,0.270940581156286
1,0.5,0,0,0,0,0,0,0,0,0,1,0,48,0.00122110655721819,0.00144487552624533,0.0738464523842327,0.114038765329947,0.945041314801453,0.423221537804667,0.598155546139292,0.0137369061314898,0.0937972360573151,0.130321734640921
1,0.5,0,0,0,0,0,0,0,0,0,1,0,48,0.00167048379093536,0.00257042082396807,0.0795676148523725,0.210533631330372,0.75820601253268,0.312725448725388,0.64403007866307,0.0481309566865094,0.1872061767276,0.199869961272503
1,0.5,0,0,0,0,0,0,0,0,0,1,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,0,0,0,0,1,0,0,0,48,0.000897151884565844,0.396681939394871,0.00126003446494188,0.208560097729046,0.867692026382752,0.411603335415155,0.595769634801384,0.0161884482740099,0.117348271107743,0.187302192260796
1,0.5,0,0,0,0,0,0,0,1,0,0,0,48,0.00183380879093883,0.406731130370792,0.00116278383795714,0.198058953363087,0.933568096336397,0.411034475133525,0.515261008102899,0.00733377291483494,0.0257537771643822,0.188252368642071
1,0.5,0,0,0,0,0,0,0,1,0,0,0,48,0.00406597910720583,0.36478182961849,0.00121391739893004,0.231585758538504,0.759649013221736,0.340218892115594,0.494766935228325,0.0597859883917481,0.197057563806868,0.152114359202952
1,0.5,0,0,0,0,0,1,0,0,0,0,0,48,0.000904327603406023,0.000354217291853543,0.00162258350488109,0.168542292211951,0.853738248855661,0.376662004969904,0.622379702655111,0.0322354615501098,0.0723384644460627,0.196028072280267
1,0.5,0,0,0,0,0,1,0,0,0,0,0,48,0.000748831106233589,0.00804345227468965,0.00114665461638066,0.136934644372654,0.898922619567358,0.342168514415692,0.500110730732396,0.0248510914605734,0.0816675485164233,0.216328254855693
1,0.5,0,0,0,0,0,1,0,0,0,0,0,48,0.00177870191184552,0.000301772852807465,0.00129212163318354,0.178321416716794,0.665377664756655,0.333364239524596,0.359695831300288,0.0635385225792395,0.207510554638208,0.392489070436335
1,0.5,0,0,0,0,0,1,0,0,0,0,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,1,0,0,0,0,0,0,0,48,0.229449484852462,0.000743360330773134,0.000937285221670015,0.288462358079259,0.938721877373068,0.450434466867099,0.552392683736697,0.305363641753315,0.384065729437901,0.214877599236416
1,0.5,0,0,0,1,0,0,0,0,0,0,0,48,0.244135977104753,0.000711383427347029,0.000799731521259996,0.297433772072651,0.993778127801243,0.483217469711053,0.477526412865054,0.225603026546942,0.399737895119081,0.115550135084088
1,0.5,0,0,0,1,0,0,0,0,0,0,0,48,0.249254400472439,0.000339663584849848,0.000937349321876082,0.351358148257589,0.841048854925829,0.402845800470546,0.420213994220577,0.184070798105639,0.53557913381933,0.280848823622425
1,0.5,0,0,0,0,0,0,0,0,0,0,1,48,0.000936476553675253,0.000375891671786067,0.355451241929394,0.202074389943668,0.897991931570206,0.408564032822597,0.706110984873619,0.0320619488413931,0.0880425233297806,0.228363303520868
1,0.5,0,0,0,0,0,0,0,0,0,0,1,48,0.000793512559364246,0.000142603122987907,0.300273764285907,0.216368203298946,0.895298965086816,0.40123411644292,0.611671472506545,0.0245600265616207,0.0545575321940894,0.273894170103545
1,0.5,0,0,0,0,0,0,0,0,0,0,1,48,0.00133181795540806,0.000690049969792886,0.297527873034841,0.235583528575758,0.777604855084845,0.361354585355651,0.551970986873586,0.0489979664895017,0.135942399988393,0.321934235835986
1,0.5,0,0,0,0,0,0,0,0,0,0,1,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,0,0,0,1,0,0,0,0,48,0.00107540989616741,0.000908960911130665,0.00165554030418156,0.140620803459487,0.81888079914353,0.323021237533153,0.409987173757623,0.0218163565114423,0.165817847002002,0.205275758154728
1,0.5,0,0,0,0,0,0,1,0,0,0,0,48,0.000803782405528693,0.00030513583734009,0.00127693551289984,0.186358814905156,0.862032457968026,0.358683892987507,0.66847239341813,0.0305205636355498,0.0395485896661285,0.203992514396213
1,0.5,0,0,0,0,0,0,1,0,0,0,0,48,0.00172629635772134,0.00049795069602238,0.00197014819664348,0.179993797763593,0.674372850580807,0.31990357780579,0.411380019962747,0.0666997436802016,0.243751350216235,0.373225733482512
1,0.5,0,0,0,0,0,0,1,0,0,0,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,0,0,0,0,0,1,0,0,48,0.00128546586066337,0.874619870361308,0.00151880021420871,0.197378484979691,0.876235053880894,0.392768117606604,0.732103522930779,0.0226764605995216,0.140332313928556,0.178047479102321
1,0.5,0,0,0,0,0,0,0,0,1,0,0,48,0.000754262982400758,0.907073881624697,0.00104226564621828,0.224000061714678,0.871266604855669,0.351886717417639,0.634707904587134,0.0261200854193981,0.0747520458597822,0.188287748395547
1,0.5,0,0,0,0,0,0,0,0,1,0,0,48,0.0016198384877012,0.846937211962879,0.0009623874332393,0.169337739931106,0.692802767545838,0.308020628208033,0.59408411652473,0.0468284401449647,0.127160797579722,0.185449362269562
1,0.5,0,1,0,0,0,0,0,0,0,0,0,48,0.0770384481552207,0.000571896960918232,0.0014669368004456,0.193453158885701,0.909701003654265,0.426222007615846,0.571483220228926,0.105282792177532,0.167424706561909,0.212950384512161
