TR:mock:CellLine,TR:Input05,TR:statin_1uM,TR:statin_2uM,TR:statin_5uM,TR:statin_10uM,TR:LDPS,TR:05HC,TR:1HC,TR:02T09,TR:1T09,TR:02GW,TR:1GW,TR:SREBP1_s129:inhibitor,TR:SREBP1_s130:inhibitor,TR:SREBP2_s27:inhibitor,TR:SREBP2_s28:inhibitor,TR:LDLR_s06:inhibitor,TR:LDLR_s07:inhibitor,TR:NPC1_s69:inhibitor,TR:NPC1_c:inhibitor,TR:Q01581_s62:inhibitor,TR:Q01581_s63:inhibitor,DA:ALL,DV:P14324,DV:P49327,DV:P53396,DV:Q01581,DV:Q13907,DV:Q15738,DV:Q9BWD1,DV:P48449,DV:P37268,DV:O95573,DV:P10515,DV:P53602,DV:Q9UBM7,DV:Q15392,DV:Q13085
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390839403726947,0.29929252763923,0.36010540046047,0.160465869849,0.24688834466136,0.324014886969307,0.199262009109261,0.159001030116157,0.0516277798718432,0.164271479533768,0.161473588814508,0.257471517689336,0.109164838573866,0.201737027458803,0.77047350982024
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442152578389345,0.351434481807525,0.427804186254169,0.162047392443502,0.268061551100123,0.397631869141702,0.182142765376765,0.17908413308962,0.0593633622314361,0.221892727166397,0.189892894806759,0.237164441342663,0.161225967042626,0.195683027794205,0.622973013691087
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72,0.389133982087468,0.316264509159446,0.388946958356313,0.089696379139548,0.223365315311824,0.383018746553942,0.191792728008017,0.169961188552878,0.0503036185450433,0.180191908877023,0.172906998919331,0.240814952218284,0.123971282324005,0.199465122642259,0.858426039351614
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72,0.341942643387528,0.341094996207507,0.393332808081869,0.0772358419819836,0.211825452798165,0.431160632236721,0.142564289329072,0.174855107399147,0.0546240105540897,0.200073776502184,0.238897880878683,0.20608520511549,0.155526010621404,0.220216775377989,0.58864295429066
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,0.399033434270808,0.303418300503367,0.386025684796596,0.0888680066288317,0.278059148576699,0.330353795258225,0.20976324188696,0.176649659922932,0.0512401055408971,0.162120714552415,0.165096192557892,0.240128683110189,0.127823203114036,0.216740955188575,0.839075443840777
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,0.362450939102836,0.342684625462569,0.454404671236354,0.0862789664207086,0.305014686393192,0.384591067818416,0.177794808145829,0.201801489332922,0.0603379193366001,0.210462767608517,0.216405953294899,0.25674239502409,0.161993396707217,0.260594720072023,0.667057335905932
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72,0.251912394171782,0.169843933160181,0.317351682117814,0.187373279142325,0.382385240756097,0.681693622495865,0.164451539603612,0.307804950800681,0.0665872597059932,0.258973067078136,0.331022038796497,0.222144269561118,0.214367701477985,0.258697935514621,0.5022759600229
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72,0.222968266346827,0.167592341462293,0.203703022822176,0.173287937563071,0.339569560803218,1,0.133884015001123,0.336599298688596,0.0762084432717678,0.373972639714251,0.435092231735802,0.190307749759714,0.356525368019086,0.359032454522185,0.430222421712898
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,72,0.477101711987112,0.329595237547981,0.344850347103676,0.153529667725181,0.400981159566306,0.358001286528212,0.357193847171314,0.308587076030897,0.0632926875235582,0.147772534447778,0.182496100301707,0.323999216392098,0.1542984186074,0.235130674245567,0.877512725323159
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,72,0.417605716124962,0.315262831268531,0.317485621241169,0.133474674344755,0.405317326843937,0.452032714574527,0.357275399298205,0.335025336695373,0.0585032039200905,0.174217361770276,0.266071076381928,0.32428939619338,0.196931758588343,0.280169819147903,0.614632848841136
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375742018546661,0.304876456662146,0.410638092987018,0.129784377806375,0.246463253016717,0.332388347730197,0.186857148602498,0.161314109122945,0.0535768940821711,0.167494253080394,0.143967407161101,0.23642736015966,0.110160502854779,0.208467126225761,0.823850772662712
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394134950895066,0.307991817408693,0.321881100576901,0.166003860646404,0.257846564003999,0.383357838632604,0.197906903219968,0.15519861818762,0.0505222389747456,0.21537160414408,0.198068813986429,0.213583353229628,0.133765427995302,0.175683380848566,0.520633258212626
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,72,0.384469293603148,0.249747396970602,0.447101049627509,0.356468665808745,0.365850454541932,0.443998345892299,0.225837948103801,0.224993670161662,0.102593856012062,0.24295951739371,0.24502493035962,0.261277525758049,0.144719212332056,0.31748236934782,0.576841834025836
