TR:mock:CellLine,TR:Input05,TR:statin_1uM,TR:statin_2uM,TR:statin_5uM,TR:statin_10uM,TR:LDPS,TR:05HC,TR:1HC,TR:02T09,TR:1T09,TR:02GW,TR:1GW,DA:ALL,DV:atorvastatin,DV:T090137,DV:GW3965,DV:HMG_CoA,DV:Mevalonate,DV:Acetyl_CoA,DV:Acetoacetyl_CoA,DV:hydroxy_atorvastatin,DV:Atorvastatin_Lactone,DV:hydroxy_GW3965
1,0.5,0,0,0,0,0,0,0,0,0,1,0,48,0.000845013490022316,0.000479270676410685,0.229356964158768,0.215158674998571,0.621123046062713,0.475062977137895,0.63548811843345,0.0277396798433071,0.0892221393467051,0.117826104261406
1,0.5,0,0,0,0,0,0,0,0,0,1,0,48,0.00120207536698776,0.000910668041548591,0.200406062245831,0.189907041816896,0.678964312405177,0.551934379744399,0.641671075007895,0.0472408269602307,0.0838644660727449,0.0731972611194232
1,0.5,0,0,0,0,0,0,0,0,0,1,0,48,0.00327975492234026,0.000554494508812814,0.147797420650507,0.214892886188197,0.540197455418413,0.560113791087138,0.579459239346351,0.0933237896255279,0.20867854443084,0.13418887422108
1,0.5,0,0,0,0,0,0,0,0,0,1,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,0,0,0,0,1,0,0,0,48,0.00608020751042828,0.467659204161446,0.00065190498886057,0.191992283260524,0.674728218990425,0.534326506848256,0.72393762076039,0.0408646805232619,0.155780784497079,0.0772669536519949
1,0.5,0,0,0,0,0,0,0,1,0,0,0,48,0.000823553509995523,0.362072954877384,0.000486586579481629,0.203888102442094,0.633181436711318,0.504014426711082,0.665685350574314,0.0266801009699972,0.0644648002306089,0.0503299912084091
1,0.5,0,0,0,0,0,0,0,1,0,0,0,48,0.0017697504587552,0.377478778945898,0.00028462790111797,0.266735575918467,0.554954608693385,0.572030208442157,0.665847034429392,0.104095023844345,0.22099106101475,0.0800512856767212
1,0.5,0,0,0,0,0,1,0,0,0,0,0,48,0.00106963291842242,0.000446059062623335,0.000571818887349422,0.189491980306766,0.672753246505289,0.563854190773799,0.665156477177787,0.0643085052465436,0.128648820405115,0.108249499000701
1,0.5,0,0,0,0,0,1,0,0,0,0,0,48,0.00117428903065215,0.000676477528813028,0.000271041627074266,0.229329803581604,0.670965319636612,0.621580942130453,0.661862565885685,0.0416165643614579,0.0884211782693224,0.104299467112774
1,0.5,0,0,0,0,0,1,0,0,0,0,0,48,0.00178666279239542,0.000364685172060979,0.00046541655042164,0.215514307943489,0.564451953036348,0.737065589092505,0.451602101207008,0.100882543342527,0.237517952534518,0.110573329345467
1,0.5,0,0,0,0,0,1,0,0,0,0,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,1,0,0,0,0,0,0,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,1,0,0,0,0,0,0,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,1,0,0,0,0,0,0,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,0,0,0,0,0,0,0,1,48,0.00088881664907069,0.000641742072312037,0.953358820987165,0.154006914833068,0.628865942196958,0.481291286956385,0.696400902338688,0.0604606081698679,0.100516373447249,0.418749666186446
1,0.5,0,0,0,0,0,0,0,0,0,0,1,48,0.000444921742690542,0.000698419617227645,1,0.207559506960835,0.603073341467425,0.550475972465075,0.709348434866595,0.0276169275301347,0.0383822675301424,0.463837427928532
1,0.5,0,0,0,0,0,0,0,0,0,0,1,48,0.00159745828840787,0.000330117218752946,0.822952576983078,0.262731875447813,0.55145033097715,0.570781579617537,0.612857580397411,0.0665634702408247,0.191754221534142,0.353872528153453
1,0.5,0,0,0,0,0,0,0,0,0,0,1,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,0,0,0,1,0,0,0,0,48,0.00133365876806343,0.000677341652422861,0.00058859428002715,0.159950598273274,0.678072619637232,0.581122500712648,0.805094485336708,0.0648652969763225,0.130842534759658,0.15637245054639
1,0.5,0,0,0,0,0,0,1,0,0,0,0,48,0.000933614227059292,0.000662650751095787,0.000238167996030977,0.165123837337431,0.6582359353499,0.692066685735072,0.660229582718621,0.0663185844029985,0.0802703055954045,0.137088182310699
1,0.5,0,0,0,0,0,0,1,0,0,0,0,48,0.00359890351000923,0.000328805308481811,0.000815173877429658,0.163626943764495,0.534579778547258,0.622310874899427,0.262518195707895,0.137822761575833,0.358035719140259,0.390714098936292
1,0.5,0,0,0,0,0,0,1,0,0,0,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,0,0,0,0,0,1,0,0,48,0.00101001389134858,0.961999593653568,0.0013465233021365,0.190440302662901,0.624886995729819,0.433024448898298,0.599808611978639,0.0318044655544748,0.105060358507,0.0794877344222267
1,0.5,0,0,0,0,0,0,0,0,1,0,0,48,0.000987266358522702,0.999388405016526,0.000365965716555731,0.150271521972062,0.631039295089559,0.51237575716692,0.4870895743459,0.0139796682552386,0.071277258659465,0.118806728877405
1,0.5,0,0,0,0,0,0,0,0,1,0,0,48,0.00124585810563678,0.980822855445748,0.000146276759803025,0.261508391258532,0.512199077108148,0.514856359945545,0.506691649540413,0.0727267681221769,0.246304251718226,0.0653652024133934
1,0.5,0,1,0,0,0,0,0,0,0,0,0,48,0.299387138952771,0.00968333604440198,0.000664813411783833,0.225390865014498,0.695763056696084,0.549061926409259,0.620498799934619,0.39294423097714,0.616858566791074,0.145051215976396
1,0.5,0,1,0,0,0,0,0,0,0,0,0,48,0.3386455555773,0.000398818341220944,0.001730051058868,0.236929202338888,0.691161900763813,0.600855337994614,0.524080785721987,0.352706759150308,0.843038858209605,0.17023023620114
