TR:mock:CellLine,TR:Input05,TR:statin_1uM,TR:statin_2uM,TR:statin_5uM,TR:statin_10uM,TR:LDPS,TR:05HC,TR:1HC,TR:02T09,TR:1T09,TR:02GW,TR:1GW,DA:ALL,DV:atorvastatin,DV:T090137,DV:GW3965,DV:HMG_CoA,DV:Mevalonate,DV:Acetyl_CoA,DV:Acetoacetyl_CoA,DV:hydroxy_atorvastatin,DV:Atorvastatin_Lactone,DV:hydroxy_GW3965
1,0.5,0,0,0,0,0,0,0,0,0,1,0,48,0.001116409716376,0.000594785603367051,0.175066569898865,0.280075459726751,0.468769633921181,0.540234570300311,0.220377282699401,0.0488608283459696,0.0194389591351815,0.345760337466068
1,0.5,0,0,0,0,0,0,0,0,0,1,0,48,0.000428323664535465,0.000736723712761345,0.156751267964785,0.325269786525605,0.418830799073443,0.542144012419007,0.499395578810772,0.0288270863565403,0.0748047985650897,0.26529226561477
1,0.5,0,0,0,0,0,0,0,0,0,1,0,48,0.00186686376344068,0.000975848735862832,0.144238841541044,0.266767338726326,0.379607779256965,0.521636792795992,0.46898441773532,0.0597227032827131,0.109546037444194,0.233019745470865
1,0.5,0,0,0,0,0,0,0,0,0,1,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,0,0,0,0,1,0,0,0,48,0.00237481601872844,0.415067928503961,0.000474744701804084,0.351401646658625,0.436964287888315,0.507293528347837,0.406779464340954,0.0321677590712128,0.0510630101642042,0.213481148634218
1,0.5,0,0,0,0,0,0,0,1,0,0,0,48,0,0.376683368950432,0.000278886937410653,0.265042878222214,0.416727672992332,0.534420466619378,0.466442914616403,0.0337388930769579,0.042805723401665,0.109986394673744
1,0.5,0,0,0,0,0,0,0,1,0,0,0,48,0.000966441066490659,0.476668480307927,7.15772113406954e-05,0.267705169407997,0.337801895342074,0.479522018664549,0.363912526894496,0.057898317556279,0.0992615446098223,0.2356512211312
1,0.5,0,0,0,0,0,1,0,0,0,0,0,48,0.00854323904448713,0.000315495272418174,0.000424104485279087,0.296255467603427,0.5433151879676,0.514604728736916,0.376801568462518,0.0576503869582036,0.116475782860972,0.338159672795666
1,0.5,0,0,0,0,0,1,0,0,0,0,0,48,0.000430186113189595,0.000958662261420015,2.13588264359753e-05,0.257270664301327,0.460621656893403,0.535868526395951,0.340808414440683,0.0344096008892259,0.0422374506422713,0.0906666619148723
1,0.5,0,0,0,0,0,1,0,0,0,0,0,48,0.00129735887221306,0.000308328999303095,6.85161102540203e-05,0.266117761646909,0.415529793337112,0.46883551864615,0.508546693266455,0.0877246861310177,0.101666734452212,0.159962902688981
1,0.5,0,0,0,0,0,1,0,0,0,0,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,1,0,0,0,0,0,0,0,48,1,0.000798355614964833,0.00254810819986416,0.518228252274027,0.547487259941135,0.493760407455733,0.484708531383385,1,0.881119768059976,0.13137311291431
1,0.5,0,0,0,1,0,0,0,0,0,0,0,48,0.883006050687588,0.00086713659007697,0.000562045252007367,0.448037494876721,0.512969504255809,0.462257350610755,0.534617624191675,0.573741864879194,1,0.0750105953493716
1,0.5,0,0,0,1,0,0,0,0,0,0,0,48,0.961911234134199,0.00577359159001767,0.000338370675918991,0.815088123966405,0.443519622646581,0.456022886927994,0.320050296786906,0.45693134892841,0.996255905821024,0.319701971462752
1,0.5,0,0,0,0,0,0,0,0,0,0,1,48,0.000392379981920812,0.000623811976193313,0.775825868303685,0.431416582860877,0.437510651654155,0.568636530650141,0.564686138483795,0.019159353053325,0.0258024684314194,0.771493366535371
1,0.5,0,0,0,0,0,0,0,0,0,0,1,48,0.00032376076814091,0.0004187415035912,0.813556773496886,0.349525782548751,0.411056844310102,0.557553211885085,0.368483506284755,0.0292779936777579,0,1
1,0.5,0,0,0,0,0,0,0,0,0,0,1,48,0.000947401507326972,0.00171123276188958,0.804856156511815,0.324199304115833,0.371275118938446,0.449341555821429,0.360033947118878,0.0680742693367974,0.10174564926021,0.646659680724162
1,0.5,0,0,0,0,0,0,0,0,0,0,1,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,0,0,0,1,0,0,0,0,48,0.000581989437367258,0.000455259041883277,0.00360274068772348,0.287706853092517,0.471738059168831,0.566372875139304,0.444154297599896,0.0230732852058573,0.0822008014541405,0.114624183829412
1,0.5,0,0,0,0,0,0,1,0,0,0,0,48,0.000608975866864955,0.00038521688828235,0.000210967298674454,0.354668965514575,0.455792429507384,0.489083216901978,0.392750768262427,0.0442756679386615,0.0450793712596564,0.0968607958810414
1,0.5,0,0,0,0,0,0,1,0,0,0,0,48,0.00107387509278823,0.000274543070443976,0.000759993999996719,0.238010925784234,0.391769661387174,0.398487959473793,0.443795761311756,0.0680329460412135,0.0870352838860595,0.192867530544341
1,0.5,0,0,0,0,0,0,1,0,0,0,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,0,0,0,0,0,1,0,0,48,0.000182854367991626,0.947854105165612,0.00311145639897003,0.330474433267302,0.40121777400212,0.539828528784303,0.380868548499875,0.0333087255170496,0.0376315941845389,0.178311348097008
1,0.5,0,0,0,0,0,0,0,0,1,0,0,48,0.000547840264615504,0.917601811033588,0.000262976420737299,0.291999451534837,0.39150829125347,0.506046845234878,0.401899599266377,0.0243416452375698,0.0489937754497622,0.119134249761247
1,0.5,0,0,0,0,0,0,0,0,1,0,0,48,0.00100130044455418,1,5.93818592328508e-05,0.221173608361121,0.322801909673947,0.403934747728149,0.361939772894757,0.0653397044742699,0.11493059487221,0.131778201743991
1,0.5,0,1,0,0,0,0,0,0,0,0,0,48,0.298550244103631,0.000118688003900007,0.000347939738603912,0.692912728249639,0.534395289648638,0.490799132667415,0.447948602120747,0.378018350499902,0.301019620028909,0.09075904306665
1,0.5,0,1,0,0,0,0,0,0,0,0,0,48,0.336212397881577,0.00216019183279174,0.000379270038568552,0.753615779111783,0.509495160291336,0.526746043943786,0.491510626394396,0.268246931065456,0.302699815397793,0.124003565003186
1,0.5,0,1,0,0,0,0,0,0,0,0,0,48,0.221077258884321,0.00032952992688082,0.000544509345503497,0.838334932606282,0.43860499926651,0.469662363351511,0.402375280502888,0.174795022675044,0.298686824553018,0.23247294285127
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.000556615586320452,0.00116140504166575,0.000329485262369135,0.31173889762799,0.50049071250493,0.468887291103392,0.380540981198259,0.0238115045176683,0.0604126326218872,0.0828904762356253
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.000725170819384412,0.000496506938497372,0.000965837265348718,0.341341448120595,0.483256258617892,0.58363924339739,0.391036757484186,0.0295412310047057,0.0970520977769697,0.195254807310595
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.000841914902940348,0.000261832569342795,1.6158178218142e-06,0.335830881571781,0.424234245535351,0.545470232265305,0.407526515042017,0.0660672790825306,0.0883409210066465,0.137920287640131
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.00191474477825705,0.000583715504695351,0.000307871640406318,0.37544763906971,0.507504113018285,0.458197780236389,0.433696718666093,0.0357927941560568,0.0882472347004327,0.129515771434982
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.000583405196982961,0.00061754446189252,0.00066721468611909,0.334690325537154,0.474318577074208,0.501183547038884,0.448693256858406,0.02520360256472,0.0369864019326745,0.118274880553358
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.00128740296984665,0.000641217286304653,0.000349132379962671,0.436644607866885,0.445284092518613,0.488307880663041,0.332178496888408,0.0565365925477393,0.122779603914856,0.205807726600172
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,0,1,0,0,0,0,0,0,48,0.00180753370618376,0.000601120602863533,0.000320687872117285,0.386992945427385,0.43583862581559,0.484706254613556,0.434519987936948,0.0305541686433223,0.046792199711938,0.204136519579373
1,0.5,0,0,0,0,1,0,0,0,0,0,0,48,0.000858107763400555,0.00293279435161725,0.000348016041367554,0.262206081736453,0.407655358038219,0.462473370721461,0.437729266048105,0.0308444540042797,0.065658571031489,0.246489364216768
1,0.5,0,0,0,0,1,0,0,0,0,0,0,48,0.00114659834995267,0.000250717253872384,0.00025539191047553,0.231383406888963,0.412514331446583,0.44838860715154,0.413267219908867,0.0523569553955378,0.130129437883073,0.224191169641727
1,0.5,1,0,0,0,1,0,0,0,0,0,0,48,0.210827380094926,0.000748826797777801,0.000294254927071175,0.824023546855964,0.474253556241418,0.54034941022492,0.563899735121861,0.237981833031205,0.202710969758844,0.228830903434063
1,0.5,1,0,0,0,1,0,0,0,0,0,0,48,0.390848185743436,0.000732759666759145,0.00085876896477629,0.819216740983042,0.505519511137382,0.446400784570777,0.471726371632142,0.482540155773739,0.399455191955605,0.175700831603703
1,0.5,1,0,0,0,1,0,0,0,0,0,0,48,0.154506057468816,0.000216684218852775,0.000425917788075608,0.954108831756662,0.480291616515676,0.479252167498757,0.564507043358416,0.113695469673117,0.226992390996955,0.262787531925515
1,0.5,0,0,1,0,1,0,0,0,0,0,0,48,0.397857216965767,0,0.000469055363793757,0.775161514200899,0.517654999105142,0.427994463962402,0.509283971949655,0.506921212821847,0.37920958592981,0.297063857539598
1,0.5,0,0,1,0,1,0,0,0,0,0,0,48,0.514250056223268,0.000409257543908822,0.000218096495084261,0.832636146348847,0.459171258378881,0.385736237778369,0.528206646721257,0.586573689374233,0.512353426293846,0.152862528630571
1,0.5,0,0,1,0,1,0,0,0,0,0,0,48,0.326935426524331,0.000147656754855506,0.000159475554118538,1,0.530665773379854,0.469802829561165,0.656226781653785,0.217688003664447,0.459376826675374,0.30679624980082
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.000567493004667095,0.00574911716013776,0.000315795555312666,0.270720274236844,0.486691340526792,0.439041650416418,0.506903906112146,0.0246288219412964,0.0580678559654327,0.145475264151037
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.000683819754553243,0.000588178384541199,0.00054428334512835,0.294215913845721,0.51974384047435,0.52192535563013,0.352144110742002,0.0361543940034588,0.0739916927384013,0.12452494795457
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.00170958961853065,0.000112489186272434,0.000290601144510572,0.29754153823679,0.441065956051294,0.456422483607248,0.437926858995026,0.0764797167530939,0.154388957278703,0.192846254277377
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,0,0,0,0,0,0,0,0,0,0,0,48,0.000556615586320452,0.00116140504166575,0.000329485262369135,0.31173889762799,0.50049071250493,0.468887291103392,0.380540981198259,0.0238115045176683,0.0604126326218872,0.0828904762356253
