TR:mock:CellLine,TR:Input05,TR:statin_1uM,TR:statin_2uM,TR:statin_5uM,TR:statin_10uM,TR:LDPS,TR:05HC,TR:1HC,TR:02T09,TR:1T09,TR:02GW,TR:1GW,TR:SREBP1_s129:inhibitor,TR:SREBP1_s130:inhibitor,TR:SREBP2_s27:inhibitor,TR:SREBP2_s28:inhibitor,TR:LDLR_s06:inhibitor,TR:LDLR_s07:inhibitor,TR:NPC1_s69:inhibitor,TR:NPC1_c:inhibitor,TR:Q01581_s62:inhibitor,TR:Q01581_s63:inhibitor,DA:ALL,DV:P14324,DV:P49327,DV:P53396,DV:Q01581,DV:Q13907,DV:Q15738,DV:Q9BWD1,DV:P48449,DV:P37268,DV:O95573,DV:P10515,DV:P53602,DV:Q9UBM7,DV:Q15392,DV:Q13085
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13659610651439,0.268728250626336,0.179754182314783,0.29432105394721,0.193284559524455,0.356017276235986,0.298032806298059,0.342796643971739,0.126786656615153,0.488913281119963,0.372108640623039,0.275794474339902,0.465252202944153,0.399540146694087,0.562586562848394
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188031943428042,0.408247868159147,0.263509905367195,0.489744290039162,0.256936317629097,0.381000735158978,0.428494983427044,0.343661664071144,0.14673011684885,0.472237092486043,0.447713073483845,0.342887227803388,0.40498496901475,0.384848672074283,0.447832668883922
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72,0.146047345066848,0.311359091640426,0.247204349082123,0.0972153814818587,0.240566608024428,0.377423267781658,0.376571973103438,0.366440411075309,0.156232943837165,0.486556031903839,0.380799629671284,0.334046538963066,0.556431562853154,0.449736533182697,0.629607117661055
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72,0.134061193410827,0.256837290550946,0.199721616724007,0.156236054919315,0.205896644992289,0.380477853335784,0.33089607913014,0.352386435763413,0.196935544666415,0.354038138852775,0.583510592346649,0.293860921841234,0.385054695059348,0.277914684413533,0.306304424848642
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,0.132848182244719,0.274794860597145,0.208300723971601,0.137073778156333,0.202857065356387,0.338968020584451,0.328877384701491,0.358109303301574,0.13412721447418,0.358518261933574,0.372894285169411,0.299683495870754,0.384583453359628,0.352170843005552,0.559043525332718
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,0.159463809031208,0.3095842048406,0.24337351507034,0.115010230250062,0.270071145693671,0.52223396434479,0.404603561705355,0.416198143016194,0.22197889182058,0.452052021431174,0.578558749749392,0.279965349838075,0.45625946361172,0.386748104539396,0.512422970104452
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72,0.0983760863055443,0.152411795802974,0.13655662648493,0.22953857406053,0.207495485580984,0.38645010108436,0.236104578872637,0.425788281648325,0.131070674707878,0.457531276288502,0.608820734496152,0.227935009519612,0.597394875431171,0.384093135740576,0.430866610352111
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72,0.0967665846249433,0.209666950145954,0.19945811557283,0.34020210530214,0.202814439940789,0.415560558720823,0.313374660525307,0.413510129475543,0.176101583113456,0.360202075638909,0.812079366398863,0.208573160204962,0.397089823986055,0.284441776922602,0.353720864750517
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,72,0.171083415134856,0.349548348541614,0.217226497185528,0.311416218418153,0.312322232641768,0.446201984929241,0.505908060589879,0.45215162477412,0.172162646061063,0.362190892200834,0.418176424469731,0.371341377558204,0.564405740580706,0.445779676425678,0.473488000947581
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,72,0.146273133283905,0.317099317351231,0.204284301109156,0.370110542249544,0.288116034131333,0.458197941554861,0.429733905464328,0.492971278141768,0.239990576705616,0.303461197608562,0.622329908770694,0.321221693695017,0.443910419759652,0.31966424530217,0.294514733737094
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108510934715179,0.199874043257407,0.156054836252856,0.280575023376816,0.182820019995195,0.320204006616431,0.255248102795897,0.335267778174717,0.126612137203166,0.380974659570927,0.391643806366329,0.25182525543781,0.39868377318354,0.264483613864445,0.314920967405094
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140406002443637,0.282287447996874,0.250013568996157,0.397380407913862,0.221380908463858,0.31915732402132,0.364134715176404,0.329982623293111,0.161247078778741,0.371884404817066,0.464765798056752,0.298314630816605,0.323982361674311,0.318818680106269,0.422968026424202
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,72,0.122741517328845,0.285455214103478,0.245064824784866,0.348569153712979,0.161529399911649,0.394820804999081,0.279688046357357,0.29672998817274,0.154064266867697,0.469515459326205,0.421301073007894,0.249873582006404,0.60813741348874,0.586076418616556,0.49939996945299
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,72,0.098555275677805,0.232732663709288,0.201234340940725,0.341280679177506,0.145461555750169,0.453741040249954,0.234619883302258,0.323735332984181,0.227772333207689,0.424951303009991,0.640830044873017,0.153156164484196,0.458520389697681,0.444958825035085,0.410079058570254
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72,0.156662113537845,0.31025949847151,0.244051089459079,0.411619434697675,0.242519239562586,0.386051277338724,0.364400597453116,0.320315832920015,0.147305314738032,0.46272712141183,0.341360925430597,0.328661683410164,0.558831350129628,0.448286362392649,0.63035520769369
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72,0.141269442207024,0.304818534948399,0.26167152524271,0.462624869228704,0.219503840162442,0.444350303253078,0.391326205156105,0.342601372794528,0.242949491142103,0.43873356336007,0.52210807013426,0.306877383729117,0.422712668129141,0.481506129906352,0.371568007098543
1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,72,0.0935938598415639,0.107710943066633,0.136617030403306,0.124308648033107,0.131282405003449,0.210521962874472,0.193824828265744,0.190093889711672,0.0518469656992084,0.279692118060398,0.466721759582989,0.218621094969605,0.264518011330482,0.23600183588268,0.374070991666069
1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,72,0.0760401870999665,0.0948638150182729,0.136649420910261,0.0960613537259404,0.118027838271423,0.2662084175703,0.171562214777022,0.154118210164506,0.0573537504711647,0.289838186537588,0.61669999951101,0.142522360373928,0.198931212007061,0.217267006187278,0.354770268824075
1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72,0.123864373341618,0.156679614774634,0.160511594926071,0.484346791589901,0.237687842456464,0.716796544752803,0.323450258229783,0.584283965218839,0.226765925367508,0.577017719856226,0.467983354767412,0.307881381353805,1,0.739075174099932,0.349614681682496
1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72,0.12666318643221,0.167282965959501,0.177871155815847,0.582094284947182,0.256666227495718,0.513638117993016,0.381495263832302,0.581530051991385,0.228531850735017,0.381088023464527,0.618576092608258,0.331686532351375,0.560037522066373,0.387563660114566,0.345506420586607
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72,0.176042749235763,0.291861999218517,0.220576726107624,0.54988982807625,0.331574582852183,0.358380812350671,0.441602532807974,0.369468328263682,0.121876366377686,0.321437472165115,0.297211613847556,0.382496770678372,0.454035468693449,0.326815361395271,0.547072006782683
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72,0.207782807748539,0.344687981244397,0.296105260393413,0.723327284678696,0.355795894009967,0.395865649696747,0.534463593678258,0.396618999226546,0.160100640784018,0.329466065058279,0.36951210169696,0.384581290136948,0.344014565652537,0.332992047450506,0.568214901330042
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,72,0.097670698294098,0.229078539085664,0.177336274741533,0.130779396924444,0.145729320860878,0.255176438154751,0.2043673956831,0.282258416950787,0.0623407463249152,0.398477684857373,0.354395779035026,0.221897555510661,0.35279532008243,0.353542459200155,0.439867588064223
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,72,0.084867865852975,0.208165122853794,0.182819024608031,0.171867969596252,0.144600522355093,0.281674324572689,0.210531842754094,0.276286517964601,0.0653441387108933,0.378089728421498,0.499875307452702,0.167886768658133,0.302092519961296,0.280211303035385,0.28162680489708
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72,0.102372377613979,0.238879260808605,0.222063187751136,0.15749794006277,0.150164301601941,0.247366292960853,0.200903106018882,0.260271159869172,0.06160535243121,0.349962886820548,0.303768974864264,0.235187055776966,0.296741193763064,0.282324333389234,0.538967698095799
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72,0.0925379396264726,0.218215919277358,0.189284870131575,0.14395558867914,0.138942579690152,0.220062488513141,0.206758101868661,0.226767759098492,0.0603520542781757,0.365597657146199,0.470584783597307,0.141356743619411,0.201410031982391,0.228865724599945,0.464457930845311
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111283165646883,0.20244742225389,0.156644868730905,0.186069732347032,0.164219451139649,0.440932732953501,0.226225599994638,0.412337808731362,0.130815680361855,0.652368720562501,0.455036519431663,0.226010272609843,0.682346901844342,0.575370927738599,0.307435911023003
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167163347366365,0.358215919277358,0.220350867978044,0.458898465925398,0.231075090482132,0.476561293879802,0.399853429602081,0.377404037916599,0.164390312853374,0.505441017036074,0.511880021319981,0.320363398164643,0.366368262831734,0.388160321985578,0.462241714123628
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0.13659610651439,0.268728250626336,0.179754182314783,0.29432105394721,0.193284559524455,0.356017276235986,0.298032806298059,0.342796643971739,0.126786656615153,0.488913281119963,0.372108640623039,0.275794474339902,0.465252202944153,0.399540146694087,0.562586562848394
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0.188031943428042,0.408247868159147,0.263509905367195,0.489744290039162,0.256936317629097,0.381000735158978,0.428494983427044,0.343661664071144,0.14673011684885,0.472237092486043,0.447713073483845,0.342887227803388,0.40498496901475,0.384848672074283,0.447832668883922
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0.108510934715179,0.199874043257407,0.156054836252856,0.280575023376816,0.182820019995195,0.320204006616431,0.255248102795897,0.335267778174717,0.126612137203166,0.380974659570927,0.391643806366329,0.25182525543781,0.39868377318354,0.264483613864445,0.314920967405094
